egoid,sexorientation_7,sexcontacttype_7,sexattracttype_7
44869,Heterosexual or straight,I have not had sexual contact,Only attracted to males
43516,Heterosexual or straight,Men only,Only attracted to males
89411,Heterosexual or straight,Men only,Only attracted to males
74285,Heterosexual or straight,Men only,Only attracted to males
56527,Heterosexual or straight,Men only,Only attracted to males
16819,Heterosexual or straight,Men only,Only attracted to males
34591,Heterosexual or straight,Men only,Only attracted to males
89972,Heterosexual or straight,Men only,Only attracted to males
92552,Heterosexual or straight,Women only,Only attracted to females
73158,Heterosexual or straight,Women only,Only attracted to females
45963,Heterosexual or straight,Men only,Only attracted to males
22138,Bisexual,Men only,Mostly attracted to males
90136,Heterosexual or straight,Men only,Only attracted to males
46744,Heterosexual or straight,Men only,Only attracted to males
77941,Heterosexual or straight,Women only,Only attracted to females
44873,Heterosexual or straight,Women only,Only attracted to females
36540,Heterosexual or straight,Men only,Only attracted to males
14527,Heterosexual or straight,Men only,Only attracted to males
83005,Heterosexual or straight,I have not had sexual contact,Mostly attracted to males
31439,Heterosexual or straight,Men only,Only attracted to males
21899,Heterosexual or straight,Men only,Only attracted to males
29232,Heterosexual or straight,Men only,Only attracted to males
32249,Heterosexual or straight,Men only,Only attracted to males
45375,Heterosexual or straight,Men only,Only attracted to males
25536,Heterosexual or straight,Men only,Only attracted to males
32037,Heterosexual or straight,Men only,Only attracted to males
90476,Heterosexual or straight,Men only,Only attracted to males
46558,Heterosexual or straight,Women only,Only attracted to females
24016,Heterosexual or straight,Men only,Only attracted to males
52277,Heterosexual or straight,Men only,Only attracted to males
93699,Heterosexual or straight,I have not had sexual contact,Mostly attracted to males
36875,Heterosexual or straight,Men only,Only attracted to males
84011,Heterosexual or straight,Men only,Only attracted to males
90646,Heterosexual or straight,Men only,Mostly attracted to males
88008,Heterosexual or straight,Women only,Only attracted to females
88967,Heterosexual or straight,Men only,Only attracted to males
46701,Heterosexual or straight,Men only,Only attracted to males
83566,Heterosexual or straight,I have not had sexual contact,Only attracted to males
21090,Heterosexual or straight,Men only,Only attracted to males
69419,Heterosexual or straight,Men only,Only attracted to males
87032,Heterosexual or straight,Men only,Only attracted to males
94641,Heterosexual or straight,Both men and women,Only attracted to females
82728,Heterosexual or straight,Men only,Only attracted to males
45076,Heterosexual or straight,Men only,Only attracted to males
58437,Heterosexual or straight,Men only,Only attracted to males
94862,Heterosexual or straight,Men only,Only attracted to males
14606,Heterosexual or straight,I have not had sexual contact,Only attracted to females
64075,Heterosexual or straight,Men only,Only attracted to males
39787,Heterosexual or straight,Men only,Only attracted to males
82376,Heterosexual or straight,Men only,Only attracted to males
44872,Heterosexual or straight,Both men and women,Mostly attracted to males
87783,Heterosexual or straight,Men only,Only attracted to males
22199,Heterosexual or straight,Men only,Only attracted to males
47498,Heterosexual or straight,Men only,Only attracted to males
57325,Heterosexual or straight,Men only,Mostly attracted to males
53776,Heterosexual or straight,Both men and women,Mostly attracted to females
58633,Heterosexual or straight,Men only,Only attracted to males
27306,Heterosexual or straight,Men only,Only attracted to males
80607,Heterosexual or straight,Men only,Only attracted to males
73143,Heterosexual or straight,Men only,Only attracted to males
35797,Heterosexual or straight,Men only,Only attracted to males
46365,Heterosexual or straight,Women only,Only attracted to females
30596,Heterosexual or straight,Men only,Only attracted to males
31045,Heterosexual or straight,Men only,Only attracted to males
74492,Heterosexual or straight,Men only,Only attracted to males
76791,Heterosexual or straight,Men only,Only attracted to males
21348,Heterosexual or straight,Men only,Only attracted to males
23287,Heterosexual or straight,I have not had sexual contact,Mostly attracted to females
14763,Heterosexual or straight,Men only,Only attracted to males
22066,Heterosexual or straight,Men only,Only attracted to males
64058,Heterosexual or straight,Men only,Only attracted to males
28247,Heterosexual or straight,I have not had sexual contact,Only attracted to males
72873,Heterosexual or straight,Men only,Only attracted to males
67544,Heterosexual or straight,Men only,Only attracted to males
76810,Heterosexual or straight,Men only,Only attracted to males
51760,Heterosexual or straight,Women only,Only attracted to females
72806,Heterosexual or straight,Men only,Mostly attracted to males
98766,Heterosexual or straight,Men only,Only attracted to males
23042,Heterosexual or straight,Men only,Only attracted to males
60997,Heterosexual or straight,I have not had sexual contact,Only attracted to females
36038,Heterosexual or straight,Women only,Only attracted to females
39146,Heterosexual or straight,I have not had sexual contact,Mostly attracted to males
60963,Heterosexual or straight,Men only,Only attracted to males
67918,Heterosexual or straight,I have not had sexual contact,Only attracted to females
34467,Heterosexual or straight,I have not had sexual contact,Only attracted to males
42132,Heterosexual or straight,Men only,Only attracted to males
41268,Heterosexual or straight,Men only,Only attracted to males
90692,Heterosexual or straight,Men only,Only attracted to males
32668,Heterosexual or straight,Men only,Only attracted to males
24079,Heterosexual or straight,Men only,Only attracted to males
59673,Heterosexual or straight,Men only,Only attracted to males
74899,Heterosexual or straight,Men only,Only attracted to males
48891,Heterosexual or straight,Men only,Only attracted to males
81807,Heterosexual or straight,Women only,Only attracted to females
77187,Heterosexual or straight,Men only,Only attracted to males
91176,Heterosexual or straight,I have not had sexual contact,Only attracted to females
22292,Heterosexual or straight,Men only,Only attracted to males
35011,Heterosexual or straight,Men only,Only attracted to males
76785,Heterosexual or straight,Men only,Only attracted to males
60903,Heterosexual or straight,Men only,Only attracted to males
10115,Heterosexual or straight,Men only,Only attracted to males
35416,Heterosexual or straight,I have not had sexual contact,Only attracted to females
89710,Heterosexual or straight,Men only,Only attracted to males
97596,Heterosexual or straight,Men only,Only attracted to males
39129,Heterosexual or straight,Men only,Only attracted to males
57359,Heterosexual or straight,Men only,Mostly attracted to males
17308,Heterosexual or straight,Men only,Only attracted to males
51851,Heterosexual or straight,Men only,Only attracted to males
35855,Heterosexual or straight,Men only,Only attracted to males
67334,Heterosexual or straight,Men only,Mostly attracted to males
60230,Heterosexual or straight,Men only,Only attracted to males
77838,Heterosexual or straight,Men only,Only attracted to males
37371,Heterosexual or straight,Men only,Only attracted to males
57292,Heterosexual or straight,Men only,Only attracted to males
66406,Heterosexual or straight,Men only,Only attracted to males
90447,Heterosexual or straight,Men only,Only attracted to males
56798,Heterosexual or straight,Men only,Only attracted to males
28827,Heterosexual or straight,Men only,Only attracted to males
23115,Heterosexual or straight,Men only,Only attracted to males
77872,Heterosexual or straight,Women only,Only attracted to females
43114,Heterosexual or straight,Men only,Only attracted to males
72348,Heterosexual or straight,I have not had sexual contact,Mostly attracted to males
15707,Heterosexual or straight,Men only,Only attracted to males
45776,Heterosexual or straight,Men only,Only attracted to males
63122,Heterosexual or straight,Men only,Only attracted to males
27169,Heterosexual or straight,Men only,Only attracted to males
89607,Heterosexual or straight,Women only,Only attracted to females
59900,Heterosexual or straight,Men only,Only attracted to males
28254,Heterosexual or straight,Men only,Only attracted to males
56480,Heterosexual or straight,Men only,Only attracted to males
11128,Heterosexual or straight,Men only,Only attracted to males
47886,Heterosexual or straight,Men only,Only attracted to males
28820,Heterosexual or straight,Men only,Only attracted to males
35347,Heterosexual or straight,Men only,Only attracted to males
45641,Heterosexual or straight,Men only,Only attracted to males
25369,Heterosexual or straight,Men only,Only attracted to males
64572,Heterosexual or straight,Men only,Only attracted to males
31538,Heterosexual or straight,Men only,Only attracted to males
73452,Heterosexual or straight,Men only,Only attracted to males
51475,Heterosexual or straight,Men only,Only attracted to males
28312,Heterosexual or straight,Women only,Only attracted to females
13486,Heterosexual or straight,Women only,Only attracted to females
56805,Heterosexual or straight,Men only,Only attracted to males
57697,Heterosexual or straight,Men only,Only attracted to males
54837,Heterosexual or straight,Men only,Only attracted to males
29718,Heterosexual or straight,Men only,Only attracted to males
26800,Heterosexual or straight,Women only,Only attracted to females
60493,Heterosexual or straight,I have not had sexual contact,Only attracted to females
52051,Heterosexual or straight,Men only,Only attracted to males
30972,Heterosexual or straight,Men only,Only attracted to males
47142,Heterosexual or straight,Men only,Only attracted to males
69217,Heterosexual or straight,Men only,Only attracted to males
69009,Heterosexual or straight,Men only,Only attracted to males
84390,Heterosexual or straight,Men only,Only attracted to males
74845,Heterosexual or straight,Women only,Only attracted to females
90905,Heterosexual or straight,Men only,Only attracted to males
39659,Heterosexual or straight,Men only,Only attracted to males
62072,Heterosexual or straight,Men only,Only attracted to males
60396,Heterosexual or straight,Women only,Only attracted to females
61084,Heterosexual or straight,Men only,Only attracted to males
92412,Heterosexual or straight,I have not had sexual contact,Only attracted to females
92038,Heterosexual or straight,Women only,Only attracted to females
33388,Heterosexual or straight,Men only,Only attracted to males
31717,Heterosexual or straight,Men only,Only attracted to males
18324,Heterosexual or straight,Men only,Only attracted to males
86440,Heterosexual or straight,I have not had sexual contact,Only attracted to females
95585,Heterosexual or straight,Women only,Only attracted to females
29792,Heterosexual or straight,Both men and women,Mostly attracted to females
14737,Heterosexual or straight,I have not had sexual contact,Only attracted to females
28223,Heterosexual or straight,I have not had sexual contact,Only attracted to females
85708,Heterosexual or straight,Men only,Only attracted to males
55452,Heterosexual or straight,Men only,Only attracted to males
20179,Heterosexual or straight,Men only,Only attracted to males
78339,Heterosexual or straight,Men only,Only attracted to males
23696,Heterosexual or straight,Men only,Only attracted to males
28653,Heterosexual or straight,Women only,Only attracted to females
84715,Heterosexual or straight,Men only,Only attracted to males
95559,Heterosexual or straight,Women only,Only attracted to females
30152,Bisexual,Men only,Mostly attracted to males
68764,Heterosexual or straight,Men only,Only attracted to males
60367,Heterosexual or straight,Women only,Only attracted to females
36939,Heterosexual or straight,Men only,Only attracted to males
59592,Heterosexual or straight,Men only,Only attracted to males
22897,Heterosexual or straight,Women only,Only attracted to females
89652,Heterosexual or straight,Men only,Only attracted to males
28724,Heterosexual or straight,Men only,Only attracted to males
92895,Heterosexual or straight,Men only,Only attracted to males
69831,Heterosexual or straight,Men only,Only attracted to males
59178,Heterosexual or straight,Men only,Only attracted to males
50072,Heterosexual or straight,I have not had sexual contact,Only attracted to males
44927,Heterosexual or straight,I have not had sexual contact,Only attracted to males
71894,Heterosexual or straight,Men only,Mostly attracted to males
76790,Heterosexual or straight,Men only,Only attracted to males
78428,Heterosexual or straight,Men only,Only attracted to males
66676,Heterosexual or straight,I have not had sexual contact,Only attracted to males
95930,Heterosexual or straight,I have not had sexual contact,Only attracted to males
70962,Heterosexual or straight,Men only,Mostly attracted to males
12738,Heterosexual or straight,Men only,Only attracted to males
29647,Heterosexual or straight,Men only,Only attracted to males
27111,Heterosexual or straight,Men only,Only attracted to males
30453,Heterosexual or straight,Men only,Mostly attracted to males
58219,Heterosexual or straight,Men only,Only attracted to males
28377,Heterosexual or straight,Men only,Only attracted to males
80177,Heterosexual or straight,Men only,Only attracted to males
18677,Heterosexual or straight,Men only,Only attracted to males
66047,Heterosexual or straight,Men only,Only attracted to males
58682,Heterosexual or straight,I have not had sexual contact,Only attracted to males
81199,Heterosexual or straight,Men only,Only attracted to males
85679,Heterosexual or straight,Men only,Only attracted to males
79834,Heterosexual or straight,I have not had sexual contact,Only attracted to females
93471,Heterosexual or straight,Men only,Only attracted to males
19538,Heterosexual or straight,Men only,Only attracted to males
14595,Heterosexual or straight,Men only,Only attracted to males
38052,Heterosexual or straight,Women only,Only attracted to females
33133,Heterosexual or straight,Men only,Only attracted to males
40021,Heterosexual or straight,Men only,Only attracted to males
27141,Heterosexual or straight,Men only,Only attracted to males
93858,Heterosexual or straight,Men only,Only attracted to males
47810,Heterosexual or straight,Men only,Only attracted to males
58196,Heterosexual or straight,Men only,Only attracted to males
42773,Heterosexual or straight,Men only,Only attracted to males
72152,Heterosexual or straight,Men only,Only attracted to males
76663,Heterosexual or straight,Men only,Only attracted to males
48224,Heterosexual or straight,Men only,Only attracted to males
30137,Heterosexual or straight,Men only,Only attracted to males
68318,Heterosexual or straight,Men only,Only attracted to males
62246,Heterosexual or straight,Women only,Only attracted to females
69496,Heterosexual or straight,Men only,Only attracted to males
61028,Heterosexual or straight,Men only,Only attracted to males
55424,Heterosexual or straight,Men only,Only attracted to males
17581,Heterosexual or straight,Men only,Only attracted to males
23576,Heterosexual or straight,I have not had sexual contact,Only attracted to females
57842,Heterosexual or straight,Men only,Only attracted to males
17522,Heterosexual or straight,I have not had sexual contact,Only attracted to males
55685,Heterosexual or straight,Men only,Only attracted to males
74079,Heterosexual or straight,Men only,Only attracted to males
97833,Heterosexual or straight,Men only,Only attracted to males
11992,Heterosexual or straight,Men only,Only attracted to males
93485,Heterosexual or straight,Women only,Only attracted to females
34402,Heterosexual or straight,Men only,Only attracted to males
62617,Heterosexual or straight,Men only,Only attracted to males
42137,Heterosexual or straight,I have not had sexual contact,Only attracted to males
37305,Heterosexual or straight,Men only,Only attracted to males
48013,Gay or lesbian,Both men and women,Mostly attracted to females
44447,Heterosexual or straight,Men only,Only attracted to males
14571,Heterosexual or straight,I have not had sexual contact,Only attracted to females
69057,Heterosexual or straight,I have not had sexual contact,Only attracted to females
49125,Heterosexual or straight,Men only,Only attracted to males
66629,Heterosexual or straight,Men only,Only attracted to males
83542,Heterosexual or straight,Men only,Only attracted to males
18222,Heterosexual or straight,Women only,Only attracted to females
39738,Heterosexual or straight,Men only,Only attracted to males
26858,Heterosexual or straight,Men only,Mostly attracted to males
70552,Heterosexual or straight,Men only,Only attracted to males
38826,Heterosexual or straight,Men only,Only attracted to males
93504,Heterosexual or straight,Men only,Only attracted to males
64232,Heterosexual or straight,Men only,Only attracted to males
37404,Heterosexual or straight,Men only,Only attracted to males
25961,Heterosexual or straight,Men only,Only attracted to males
87330,Heterosexual or straight,Men only,Only attracted to males
92028,Heterosexual or straight,Men only,Only attracted to males
82248,Heterosexual or straight,Men only,Only attracted to males
28824,Heterosexual or straight,Men only,Only attracted to males
11482,Heterosexual or straight,Men only,Only attracted to males
69936,Heterosexual or straight,Women only,Only attracted to females
91320,Heterosexual or straight,Men only,Only attracted to males
37001,Heterosexual or straight,Men only,Only attracted to males
70492,Heterosexual or straight,Both men and women,Mostly attracted to females
95543,Heterosexual or straight,I have not had sexual contact,Only attracted to females
21380,Heterosexual or straight,Women only,Only attracted to females
67106,Heterosexual or straight,Men only,Only attracted to males
25495,Heterosexual or straight,Men only,Only attracted to males
26581,Heterosexual or straight,Men only,Only attracted to males
66642,Heterosexual or straight,Men only,Only attracted to males
83612,Heterosexual or straight,I have not had sexual contact,Only attracted to males
63954,Heterosexual or straight,Men only,Only attracted to males
20665,Heterosexual or straight,Men only,Only attracted to males
19122,Heterosexual or straight,Men only,Only attracted to males
99978,Heterosexual or straight,Women only,Only attracted to females
92566,Bisexual,Men only,Mostly attracted to males
39414,Heterosexual or straight,Men only,Only attracted to males
35987,Heterosexual or straight,Men only,Only attracted to males
66655,Heterosexual or straight,Men only,Only attracted to males
10547,Heterosexual or straight,Men only,Only attracted to males
46373,Heterosexual or straight,Men only,Only attracted to males
79341,Heterosexual or straight,Men only,Only attracted to males
19591,Heterosexual or straight,Men only,Only attracted to males
83536,Heterosexual or straight,Men only,Only attracted to males
66682,Heterosexual or straight,Men only,Only attracted to males
88337,Heterosexual or straight,Men only,Only attracted to males
67608,Heterosexual or straight,I have not had sexual contact,Only attracted to females
19735,Heterosexual or straight,Men only,Only attracted to males
42513,Heterosexual or straight,Men only,Only attracted to males
64595,Heterosexual or straight,Men only,Only attracted to males
85134,Heterosexual or straight,Men only,Only attracted to males
51952,Heterosexual or straight,Men only,Only attracted to males
28837,Heterosexual or straight,Men only,Only attracted to males
46266,Heterosexual or straight,Men only,Only attracted to males
61289,Heterosexual or straight,Men only,Only attracted to males
18743,Heterosexual or straight,Men only,Only attracted to males
13647,Heterosexual or straight,Men only,Only attracted to males
59207,Heterosexual or straight,Women only,Only attracted to females
48946,Heterosexual or straight,Men only,Only attracted to males
86083,Heterosexual or straight,Men only,Only attracted to males
96613,Heterosexual or straight,Men only,Only attracted to males
49014,Heterosexual or straight,I have not had sexual contact,Only attracted to males
50766,Heterosexual or straight,Women only,Only attracted to females
71089,Bisexual,Women only,Equally attracted to females and males
80980,Heterosexual or straight,Men only,Only attracted to males
29115,Heterosexual or straight,Men only,Only attracted to males
98462,Heterosexual or straight,I have not had sexual contact,Only attracted to females
94455,Heterosexual or straight,Men only,Only attracted to males
11148,Heterosexual or straight,Men only,Only attracted to males
88384,Heterosexual or straight,Men only,Only attracted to males
60904,Heterosexual or straight,Men only,Only attracted to males
64302,Heterosexual or straight,I have not had sexual contact,Only attracted to females
51882,Heterosexual or straight,Men only,Only attracted to males
54200,Heterosexual or straight,Men only,Only attracted to males
22688,Heterosexual or straight,Women only,Only attracted to females
38815,Heterosexual or straight,Women only,Only attracted to females
34525,Heterosexual or straight,Women only,Only attracted to females
68404,Heterosexual or straight,I have not had sexual contact,Only attracted to males
71836,Heterosexual or straight,Men only,Only attracted to males
12748,Heterosexual or straight,Men only,Only attracted to males
33445,Heterosexual or straight,Men only,Only attracted to males
83078,Heterosexual or straight,Men only,Only attracted to males
72160,Heterosexual or straight,Men only,Only attracted to males
55569,Heterosexual or straight,Men only,Only attracted to males
72885,Heterosexual or straight,Men only,Only attracted to males
47006,Heterosexual or straight,Men only,Only attracted to males
36574,Heterosexual or straight,Men only,Only attracted to males
71193,Heterosexual or straight,Women only,Only attracted to females
44070,Heterosexual or straight,Men only,Only attracted to males
49010,Heterosexual or straight,Men only,Only attracted to males
98760,Heterosexual or straight,Men only,Only attracted to males
95374,Heterosexual or straight,I have not had sexual contact,Only attracted to females
71985,Heterosexual or straight,I have not had sexual contact,Only attracted to females
43125,Heterosexual or straight,Women only,Only attracted to females
98117,Heterosexual or straight,Women only,Only attracted to females
22989,Heterosexual or straight,Men only,Only attracted to males
24883,Heterosexual or straight,Women only,Only attracted to females
65068,Heterosexual or straight,Men only,Only attracted to males
20650,Heterosexual or straight,Women only,Only attracted to females
19460,Heterosexual or straight,Men only,Only attracted to males
66815,Heterosexual or straight,I have not had sexual contact,Mostly attracted to females
89161,Heterosexual or straight,Men only,Only attracted to males
54956,Heterosexual or straight,Men only,Mostly attracted to males
14847,Bisexual,Men only,Equally attracted to females and males
85453,Heterosexual or straight,Women only,Only attracted to females
19827,Heterosexual or straight,Men only,Only attracted to males
31121,Heterosexual or straight,Women only,Only attracted to females
38683,Heterosexual or straight,Men only,Only attracted to males
82918,Heterosexual or straight,Men only,Only attracted to males
43382,Heterosexual or straight,Women only,Only attracted to females
44344,Heterosexual or straight,Women only,Only attracted to females
94215,Heterosexual or straight,Women only,Only attracted to females
80675,Heterosexual or straight,Men only,Only attracted to males
57144,Heterosexual or straight,Men only,Only attracted to males
